Connected to /dev/ttyUSB0 at 9600 baud rate.
1716864121.3092809,  -40
1716864121.4089708,  -40
1716864121.5085828,  -38
1716864121.6082313,  -38
1716864121.7077894,  -38
1716864121.807467,  -38
1716864121.9071262,  -39
1716864122.006706,  -39
1716864122.1063664,  -39
1716864122.205913,  -39
1716864122.3055537,  -39
1716864122.4051378,  -39
1716864122.504817,  -39
1716864122.6043847,  -39
1716864122.7040634,  -39
1716864122.8036535,  -41
1716864122.9033234,  -42
1716864123.0030084,  -41
Stopped by user.
